== Alignment Results (odd-one-out accuracy) ==

[distance=cosine] file=/home/maxvonk/diffusion-alignment/things_playground/things_data/alignment.pkl
  source | model | module | acc
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.15 | 0.3719
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.16 | 0.3705
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.17 | 0.3686
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.18 | 0.3673
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.19 | 0.3623
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.2 | 0.3652
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.20 | 0.3658
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.21 | 0.3667
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.22 | 0.3707
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.23 | 0.3712
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.3 | 0.3672
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.4 | 0.3690
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.5 | 0.3697
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.6 | 0.3724
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.7 | 0.3748
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.8 | 0.3778
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_70 | transformer_blocks.9 | 0.3810
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_80 | transformer_blocks.0 | 0.3603
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_80 | transformer_blocks.1 | 0.3627
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_80 | transformer_blocks.2 | 0.3635
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_80 | transformer_blocks.3 | 0.3650
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_80 | transformer_blocks.4 | 0.3666

== Probing Results (k-fold validation) ==
source | model | module | folds | l2 | optim | lr | bias | probing_acc | xent_loss
diffusion | diffusion_runwayml/stable-diffusion-v1-5_1 | down_blocks.0.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.4393 | 1.0618
diffusion | diffusion_runwayml/stable-diffusion-v1-5_1 | down_blocks.1.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.4816 | 1.0239
diffusion | diffusion_runwayml/stable-diffusion-v1-5_1 | down_blocks.2.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5088 | 1.0080
diffusion | diffusion_runwayml/stable-diffusion-v1-5_1 | down_blocks.3.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5337 | 0.9799
diffusion | diffusion_runwayml/stable-diffusion-v1-5_1 | mid_block | 3 | 0.1 | adam | 0.0001 | True | 0.5380 | 0.9784
diffusion | diffusion_runwayml/stable-diffusion-v1-5_1 | up_blocks.0.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5314 | 0.9805
diffusion | diffusion_runwayml/stable-diffusion-v1-5_1 | up_blocks.1.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5467 | 0.9623
diffusion | diffusion_runwayml/stable-diffusion-v1-5_1 | up_blocks.2.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5218 | 0.9824
diffusion | diffusion_runwayml/stable-diffusion-v1-5_1 | up_blocks.3.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.4505 | 1.0558
diffusion | diffusion_runwayml/stable-diffusion-v1-5_10 | down_blocks.0.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.4388 | 1.0630
diffusion | diffusion_runwayml/stable-diffusion-v1-5_10 | down_blocks.1.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.4852 | 1.0216
diffusion | diffusion_runwayml/stable-diffusion-v1-5_10 | down_blocks.2.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5165 | 1.0038
diffusion | diffusion_runwayml/stable-diffusion-v1-5_10 | down_blocks.3.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5362 | 0.9792
diffusion | diffusion_runwayml/stable-diffusion-v1-5_10 | mid_block | 3 | 0.1 | adam | 0.0001 | True | 0.5390 | 0.9780
diffusion | diffusion_runwayml/stable-diffusion-v1-5_10 | up_blocks.0.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5338 | 0.9796
diffusion | diffusion_runwayml/stable-diffusion-v1-5_10 | up_blocks.1.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5500 | 0.9580
diffusion | diffusion_runwayml/stable-diffusion-v1-5_10 | up_blocks.2.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5263 | 0.9772
diffusion | diffusion_runwayml/stable-diffusion-v1-5_10 | up_blocks.3.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.4526 | 1.0549
diffusion | diffusion_runwayml/stable-diffusion-v1-5_20 | down_blocks.0.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.4348 | 1.0655
diffusion | diffusion_runwayml/stable-diffusion-v1-5_20 | down_blocks.1.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.4832 | 1.0236
diffusion | diffusion_runwayml/stable-diffusion-v1-5_20 | mid_block | 3 | 0.1 | adam | 0.0001 | True | 0.5401 | 0.9794
diffusion | diffusion_runwayml/stable-diffusion-v1-5_20 | up_blocks.0.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5335 | 0.9796
diffusion | diffusion_runwayml/stable-diffusion-v1-5_20 | up_blocks.1.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5501 | 0.9574
diffusion | diffusion_runwayml/stable-diffusion-v1-5_20 | up_blocks.2.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5286 | 0.9736
diffusion | diffusion_runwayml/stable-diffusion-v1-5_20 | up_blocks.3.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.4539 | 1.0546
diffusion | diffusion_runwayml/stable-diffusion-v1-5_30 | up_blocks.0.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5330 | 0.9828
diffusion | diffusion_runwayml/stable-diffusion-v1-5_40 | down_blocks.0.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.3841 | 1.0952
diffusion | diffusion_runwayml/stable-diffusion-v1-5_40 | down_blocks.3.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5251 | 0.9960
diffusion | diffusion_runwayml/stable-diffusion-v1-5_5 | down_blocks.0.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.4393 | 1.0618
diffusion | diffusion_runwayml/stable-diffusion-v1-5_5 | down_blocks.1.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.4861 | 1.0204
diffusion | diffusion_runwayml/stable-diffusion-v1-5_5 | down_blocks.2.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5126 | 1.0092
diffusion | diffusion_runwayml/stable-diffusion-v1-5_5 | down_blocks.3.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5356 | 0.9787
diffusion | diffusion_runwayml/stable-diffusion-v1-5_5 | mid_block | 3 | 0.1 | adam | 0.0001 | True | 0.5380 | 0.9766
diffusion | diffusion_runwayml/stable-diffusion-v1-5_5 | up_blocks.0.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5348 | 0.9776
diffusion | diffusion_runwayml/stable-diffusion-v1-5_5 | up_blocks.1.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5478 | 0.9621
diffusion | diffusion_runwayml/stable-diffusion-v1-5_5 | up_blocks.2.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5239 | 0.9797
diffusion | diffusion_runwayml/stable-diffusion-v1-5_5 | up_blocks.3.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.4518 | 1.0550
diffusion | diffusion_runwayml/stable-diffusion-v1-5_50 | down_blocks.0.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.3745 | 1.0962
diffusion | diffusion_runwayml/stable-diffusion-v1-5_50 | down_blocks.1.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.4628 | 1.0420
diffusion | diffusion_runwayml/stable-diffusion-v1-5_50 | down_blocks.2.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.4946 | 1.0286
diffusion | diffusion_runwayml/stable-diffusion-v1-5_50 | up_blocks.0.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.5145 | 1.0063
diffusion | diffusion_runwayml/stable-diffusion-v1-5_60 | down_blocks.1.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.4424 | 1.0577
diffusion | diffusion_runwayml/stable-diffusion-v1-5_60 | up_blocks.3.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.4310 | 1.0689
diffusion | diffusion_runwayml/stable-diffusion-v1-5_70 | down_blocks.0.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.3564 | 1.0975
diffusion | diffusion_runwayml/stable-diffusion-v1-5_70 | down_blocks.3.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.4446 | 1.0870
diffusion | diffusion_runwayml/stable-diffusion-v1-5_70 | up_blocks.0.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.4433 | 1.0912
diffusion | diffusion_runwayml/stable-diffusion-v1-5_80 | up_blocks.2.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.4145 | 1.0707
diffusion | diffusion_runwayml/stable-diffusion-v1-5_80 | up_blocks.3.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.3663 | 1.0971
diffusion | diffusion_runwayml/stable-diffusion-v1-5_90 | down_blocks.0.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.3022 | 1.0985
diffusion | diffusion_runwayml/stable-diffusion-v1-5_90 | down_blocks.2.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.3924 | 1.1021
diffusion | diffusion_runwayml/stable-diffusion-v1-5_90 | up_blocks.1.resnets.1 | 3 | 0.1 | adam | 0.0001 | True | 0.3894 | 1.0999
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.0 | 3 | 0.1 | adam | 0.0001 | True | 0.3753 | 1.0921
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.0 | 3 | 0.1 | adam | 0.0001 | True | 0.3802 | 1.0904
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.1 | 3 | 0.1 | adam | 0.0001 | True | 0.3811 | 1.0906
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.1 | 3 | 0.1 | adam | 0.0001 | True | 0.3811 | 1.0906
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.10 | 3 | 0.1 | adam | 0.0001 | True | 0.4101 | 1.0788
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.11 | 3 | 0.1 | adam | 0.0001 | True | 0.4042 | 1.0826
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.12 | 3 | 0.1 | adam | 0.0001 | True | 0.3792 | 1.0961
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.13 | 3 | 0.1 | adam | 0.0001 | True | 0.3774 | 1.0963
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.14 | 3 | 0.1 | adam | 0.0001 | True | 0.3731 | 1.0967
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.15 | 3 | 0.1 | adam | 0.0001 | True | 0.3752 | 1.0966
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.16 | 3 | 0.1 | adam | 0.0001 | True | 0.3737 | 1.0967
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.17 | 3 | 0.1 | adam | 0.0001 | True | 0.3743 | 1.0966
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.17 | 3 | 0.1 | adam | 0.0001 | True | 0.3743 | 1.0966
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.18 | 3 | 0.1 | adam | 0.0001 | True | 0.3729 | 1.0965
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.19 | 3 | 0.1 | adam | 0.0001 | True | 0.3650 | 1.0956
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.2 | 3 | 0.1 | adam | 0.0001 | True | 0.3819 | 1.0902
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.2 | 3 | 0.1 | adam | 0.0001 | True | 0.3819 | 1.0902
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.20 | 3 | 0.1 | adam | 0.0001 | True | 0.3962 | 1.0861
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.20 | 3 | 0.1 | adam | 0.0001 | True | 0.3865 | 1.0888
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.21 | 3 | 0.1 | adam | 0.0001 | True | 0.3988 | 1.0841
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.22 | 3 | 0.1 | adam | 0.0001 | True | 0.3954 | 1.0930
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.22 | 3 | 0.1 | adam | 0.0001 | True | 0.3887 | 1.0967
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.23 | 3 | 0.1 | adam | 0.0001 | True | 0.3609 | 1.0983
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.3 | 3 | 0.1 | adam | 0.0001 | True | 0.3850 | 1.0901
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.3 | 3 | 0.1 | adam | 0.0001 | True | 0.3851 | 1.0902
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.3 | 3 | 0.1 | adam | 0.0001 | True | 0.3851 | 1.0902
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.4 | 3 | 0.1 | adam | 0.0001 | True | 0.3850 | 1.0902
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.4 | 3 | 0.1 | adam | 0.0001 | True | 0.3850 | 1.0902
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.5 | 3 | 0.1 | adam | 0.0001 | True | 0.3933 | 1.0889
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.6 | 3 | 0.1 | adam | 0.0001 | True | 0.3959 | 1.0874
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.7 | 3 | 0.1 | adam | 0.0001 | True | 0.4011 | 1.0864
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.8 | 3 | 0.1 | adam | 0.0001 | True | 0.4051 | 1.0825
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.9 | 3 | 0.1 | adam | 0.0001 | True | 0.3995 | 1.0835
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.0 | 3 | 0.1 | adam | 0.0001 | True | 0.3734 | 1.0927
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.1 | 3 | 0.1 | adam | 0.0001 | True | 0.3791 | 1.0921
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.10 | 3 | 0.1 | adam | 0.0001 | True | 0.4479 | 1.0561
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.11 | 3 | 0.1 | adam | 0.0001 | True | 0.4411 | 1.0625
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.12 | 3 | 0.1 | adam | 0.0001 | True | 0.3910 | 1.0947
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.13 | 3 | 0.1 | adam | 0.0001 | True | 0.3924 | 1.0948
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.14 | 3 | 0.1 | adam | 0.0001 | True | 0.3901 | 1.0951
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.15 | 3 | 0.1 | adam | 0.0001 | True | 0.3890 | 1.0952
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.16 | 3 | 0.1 | adam | 0.0001 | True | 0.3953 | 1.0927
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.17 | 3 | 0.1 | adam | 0.0001 | True | 0.3885 | 1.0952
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.18 | 3 | 0.1 | adam | 0.0001 | True | 0.3819 | 1.0949
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.19 | 3 | 0.1 | adam | 0.0001 | True | 0.4015 | 1.0868
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.2 | 3 | 0.1 | adam | 0.0001 | True | 0.3853 | 1.0893
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.20 | 3 | 0.1 | adam | 0.0001 | True | 0.4216 | 1.0750
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.21 | 3 | 0.1 | adam | 0.0001 | True | 0.4200 | 1.0749
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.22 | 3 | 0.1 | adam | 0.0001 | True | 0.4276 | 1.0699
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.23 | 3 | 0.1 | adam | 0.0001 | True | 0.4162 | 1.0770
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.3 | 3 | 0.1 | adam | 0.0001 | True | 0.3894 | 1.0884
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.4 | 3 | 0.1 | adam | 0.0001 | True | 0.3949 | 1.0867
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.5 | 3 | 0.1 | adam | 0.0001 | True | 0.3996 | 1.0872
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.6 | 3 | 0.1 | adam | 0.0001 | True | 0.4081 | 1.0848
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.7 | 3 | 0.1 | adam | 0.0001 | True | 0.4110 | 1.0841
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.8 | 3 | 0.1 | adam | 0.0001 | True | 0.4321 | 1.0706
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.9 | 3 | 0.1 | adam | 0.0001 | True | 0.4384 | 1.0648
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.0 | 3 | 0.1 | adam | 0.0001 | True | 0.3348 | 1.0967
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.1 | 3 | 0.1 | adam | 0.0001 | True | 0.3760 | 1.0921
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.10 | 3 | 0.1 | adam | 0.0001 | True | 0.4541 | 1.0509
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.11 | 3 | 0.1 | adam | 0.0001 | True | 0.4519 | 1.0539
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.12 | 3 | 0.1 | adam | 0.0001 | True | 0.4390 | 1.0661
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.13 | 3 | 0.1 | adam | 0.0001 | True | 0.4327 | 1.0737
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.14 | 3 | 0.1 | adam | 0.0001 | True | 0.4252 | 1.0755
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.15 | 3 | 0.1 | adam | 0.0001 | True | 0.4223 | 1.0753
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.16 | 3 | 0.1 | adam | 0.0001 | True | 0.4220 | 1.0760
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.17 | 3 | 0.1 | adam | 0.0001 | True | 0.4034 | 1.0883
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.18 | 3 | 0.1 | adam | 0.0001 | True | 0.4143 | 1.0825
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.19 | 3 | 0.1 | adam | 0.0001 | True | 0.4201 | 1.0763
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.2 | 3 | 0.1 | adam | 0.0001 | True | 0.3753 | 1.0939
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.20 | 3 | 0.1 | adam | 0.0001 | True | 0.4328 | 1.0670
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.21 | 3 | 0.1 | adam | 0.0001 | True | 0.4331 | 1.0654
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.22 | 3 | 0.1 | adam | 0.0001 | True | 0.4311 | 1.0673
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.23 | 3 | 0.1 | adam | 0.0001 | True | 0.4251 | 1.0701
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.3 | 3 | 0.1 | adam | 0.0001 | True | 0.3915 | 1.0878
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.4 | 3 | 0.1 | adam | 0.0001 | True | 0.3948 | 1.0870
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.5 | 3 | 0.1 | adam | 0.0001 | True | 0.3847 | 1.0923
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.6 | 3 | 0.1 | adam | 0.0001 | True | 0.4088 | 1.0852
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.7 | 3 | 0.1 | adam | 0.0001 | True | 0.4154 | 1.0825
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.8 | 3 | 0.1 | adam | 0.0001 | True | 0.4383 | 1.0665
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.9 | 3 | 0.1 | adam | 0.0001 | True | 0.4472 | 1.0576
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.0 | 3 | 0.1 | adam | 0.0001 | True | 0.3360 | 1.0983
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.1 | 3 | 0.1 | adam | 0.0001 | True | 0.3715 | 1.0950
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.10 | 3 | 0.1 | adam | 0.0001 | True | 0.4619 | 1.0456
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.11 | 3 | 0.1 | adam | 0.0001 | True | 0.4552 | 1.0515
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.12 | 3 | 0.1 | adam | 0.0001 | True | 0.4398 | 1.0650
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.13 | 3 | 0.1 | adam | 0.0001 | True | 0.4299 | 1.0724
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.14 | 3 | 0.1 | adam | 0.0001 | True | 0.4300 | 1.0717
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.15 | 3 | 0.1 | adam | 0.0001 | True | 0.4316 | 1.0703
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.16 | 3 | 0.1 | adam | 0.0001 | True | 0.4280 | 1.0727
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.17 | 3 | 0.1 | adam | 0.0001 | True | 0.4167 | 1.0798
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.18 | 3 | 0.1 | adam | 0.0001 | True | 0.4237 | 1.0759
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.19 | 3 | 0.1 | adam | 0.0001 | True | 0.4213 | 1.0740
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.2 | 3 | 0.1 | adam | 0.0001 | True | 0.3832 | 1.0901
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.20 | 3 | 0.1 | adam | 0.0001 | True | 0.4217 | 1.0719
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.21 | 3 | 0.1 | adam | 0.0001 | True | 0.4291 | 1.0677
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.22 | 3 | 0.1 | adam | 0.0001 | True | 0.4311 | 1.0663
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.23 | 3 | 0.1 | adam | 0.0001 | True | 0.4253 | 1.0713
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.3 | 3 | 0.1 | adam | 0.0001 | True | 0.3871 | 1.0897
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.4 | 3 | 0.1 | adam | 0.0001 | True | 0.3947 | 1.0876
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.5 | 3 | 0.1 | adam | 0.0001 | True | 0.3892 | 1.0928
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.6 | 3 | 0.1 | adam | 0.0001 | True | 0.3901 | 1.0921
diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.7 | 3 | 0.1 | adam | 0.0001 | True | 0.4021 | 1.0885
