== Alignment Results (odd-one-out accuracy) ==

[distance=cosine] file=/home/maxvonk/diffusion-alignment/things_playground/things_data/alignment.pkl
  source | model | module | acc
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.16 | 0.3704
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.17 | 0.3704
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.18 | 0.3671
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.19 | 0.3673
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.2 | 0.3715
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.20 | 0.3684
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.21 | 0.3673
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.22 | 0.3628
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.23 | 0.3620
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.3 | 0.3699
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.4 | 0.3707
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.5 | 0.3715
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.6 | 0.3710
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.7 | 0.3725
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.8 | 0.3744
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_1 | transformer_blocks.9 | 0.3728
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.0 | 0.3714
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.1 | 0.3710
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.10 | 0.3827
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.11 | 0.3817
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.12 | 0.3830
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.13 | 0.3824
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.14 | 0.3811
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.15 | 0.3770
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.16 | 0.3757
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.17 | 0.3752
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.18 | 0.3720
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.19 | 0.3712
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.2 | 0.3707
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.20 | 0.3712
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.21 | 0.3714
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.22 | 0.3708
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.23 | 0.3693
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.3 | 0.3705
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.4 | 0.3708
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.5 | 0.3726
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.6 | 0.3725
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.7 | 0.3742
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.8 | 0.3791
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_10 | transformer_blocks.9 | 0.3784
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.0 | 0.3695
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.1 | 0.3703
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.10 | 0.3903
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.11 | 0.3903
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.12 | 0.3928
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.13 | 0.3907
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.14 | 0.3889
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.15 | 0.3838
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.16 | 0.3822
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.17 | 0.3804
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.18 | 0.3766
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.19 | 0.3751
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.2 | 0.3697
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.20 | 0.3761
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.21 | 0.3756
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.22 | 0.3744
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.23 | 0.3739
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.3 | 0.3704
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.4 | 0.3717
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.5 | 0.3725
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.6 | 0.3731
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.7 | 0.3754
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.8 | 0.3818
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_20 | transformer_blocks.9 | 0.3836
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.0 | 0.3678
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.1 | 0.3694
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.10 | 0.3933
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.11 | 0.3924
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.12 | 0.3944
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.13 | 0.3926
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.14 | 0.3912
